file_name,category,required,section_fit,best_time_range,quality,emotion,usage,notes
SING_001_front_close_full.mov,演唱镜头,yes,主歌/副歌,00:00-00:58,pending,克制到释放,主线口型,正脸近景完整唱一遍
SING_002_45_medium_full.mov,演唱镜头,yes,主歌,00:07-00:34,pending,克制,主歌主镜头,45度中景完整唱一遍
SING_003_chorus_close_take1.mov,演唱镜头,yes,副歌/短版,00:34-00:50,pending,释放,副歌主镜头,表情要强
SING_004_chorus_close_take2.mov,演唱镜头,yes,副歌/短版,00:34-00:50,pending,释放,副歌备用,拍不同情绪强度
SING_005_profile_detail_hook.mov,演唱镜头,maybe,开头钩子,00:00-00:03,pending,抓人,前三秒钩子,唱最抓人的一句
STORY_001_corridor_back_walk.mov,剧情镜头,yes,主歌/结尾,00:11-00:19,pending,孤独,背影叙事,长廊纵深
STORY_002_gate_stand_back.mov,剧情镜头,yes,开头/结尾,00:03-00:07,pending,守望,封面和收束,门洞中央构图
STORY_003_turn_head.mov,剧情镜头,yes,情绪推进,00:24-00:32,pending,惊醒,转场/推进,可做遮挡转场
STORY_004_look_up.mov,剧情镜头,yes,情绪推进,00:28-00:34,pending,抬升,副歌前铺垫,抬头看灯或檐角
STORY_005_stop_steps.mov,剧情镜头,yes,主歌/推进,00:19-00:28,pending,迟疑,节奏停顿,脚步和衣摆
STORY_006_leave_frame.mov,剧情镜头,maybe,结尾,00:50-00:58,pending,余韵,结尾,从画面边缘离开
STORY_007_hand_railing.mov,细节镜头,yes,主歌,00:15-00:24,pending,压抑,细节补位,手扶栏杆或门框
STORY_008_sleeve_detail.mov,细节镜头,yes,主歌/间奏,00:07-00:24,pending,含蓄,古装质感,衣袖和手部
STORY_009_push_door.mov,剧情镜头,maybe,推进/副歌,00:28-00:42,pending,突破,段落转场,推门或过门洞
STORY_010_shadow_walk.mov,剧情镜头,maybe,主歌/结尾,00:19-00:54,pending,孤独,氛围补位,地面影子或侧影
BROLL_001_roof_eaves.mov,空镜,yes,前奏/主歌,00:03-00:11,pending,古意,场景建立,瓦檐或屋顶
BROLL_002_lantern.mov,空镜,yes,前奏/结尾,00:03-00:07,pending,守夜,光源,灯或暖色光
BROLL_003_window_grid.mov,空镜,yes,主歌,00:11-00:24,pending,隔绝,窗影,可叠化到人脸
BROLL_004_stone_steps.mov,空镜,yes,主歌/结尾,00:15-00:54,pending,冷清,节奏补位,石阶低角度
BROLL_005_tree_shadow.mov,空镜,maybe,主歌/推进,00:19-00:32,pending,流动,氛围,树影摇动
BROLL_006_water_reflection.mov,空镜,maybe,结尾,00:50-00:58,pending,余韵,留白,水面或倒影
BROLL_007_empty_corridor.mov,空镜,yes,前奏/间奏,00:03-00:15,pending,空旷,场景建立,无人长廊
BROLL_008_gate_detail.mov,空镜,maybe,转场,00:24-00:34,pending,压迫,细节转场,门环门缝墙面
COVER_001_front_close.jpg,封面图,yes,封面,,pending,记忆点,发布封面,加标题庙堂之外/守望
COVER_002_gate_back.jpg,封面图,yes,封面,,pending,守望,发布封面,背影门洞构图
COVER_003_profile.jpg,封面图,maybe,封面,,pending,诗意,备用封面,侧脸看远处
